Condition,SourceEntity,Permission,Target
IpAddress==192.168.1.1,User11,Part_Of,Group3
Time==09:00-17:00,Role45,Execute,Datastore224
Time==09:00-17:00,User23,Part_Of,Group5
,User22,Part_Of,Group5
,User19,Assume_Role,Role66
,Role258,Read,Datastore201
,User21,Part_Of,Group5
,User11,Part_Of,Group6
Time==09:00-17:00,Role142,Write,Compute164
IpAddress==192.168.1.1,Role136,Read,Datastore229
IpAddress==192.168.1.1,Role92,Full_Control,Compute35
IpAddress==192.168.1.1,User1,Execute,Datastore25
IpAddress==192.168.1.1,User29,Part_Of,Group4
,Group6,Assume_Role,Role193
,User6,Part_Of,Group4
IpAddress==192.168.1.1,Role115,Full_Control,Datastore11
IpAddress==192.168.1.1,Role2,Write,Compute176
IpAddress==192.168.1.1,Role3,Read,Datastore281
,User14,Part_Of,Group6
IpAddress==192.168.1.1,User2,Part_Of,Group1
Time==09:00-17:00,Role62,Full_Control,Datastore210
,User16,Assume_Role,Role50
IpAddress==192.168.1.1,User10,Assume_Role,Role28
Time==09:00-17:00,Role183,Full_Control,Compute45
,User4,Part_Of,Group1
,Role114,Execute,Datastore42
Time==09:00-17:00,Group2,Assume_Role,Role251
IpAddress==192.168.1.1,User21,Part_Of,Group5
,Role154,Full_Control,Datastore196
IpAddress==192.168.1.1,User9,Part_Of,Group4
Time==09:00-17:00,User27,Part_Of,Group3
Time==09:00-17:00,Role42,Read,Compute50
IpAddress==192.168.1.1,User15,Assume_Role,Role32
IpAddress==192.168.1.1,User16,Assume_Role,Role244
,Role167,Write,Compute18
,User6,Part_Of,Group2
Time==09:00-17:00,User22,Read,Compute217
,User27,Part_Of,Group6
IpAddress==192.168.1.1,User5,Assume_Role,Role45
,User18,Assume_Role,Role235
,User14,Part_Of,Group2
IpAddress==192.168.1.1,Role19,Read,Datastore289
Time==09:00-17:00,User17,Assume_Role,Role197
IpAddress==192.168.1.1,User3,Assume_Role,Role89
Time==09:00-17:00,User20,Part_Of,Group5
Time==09:00-17:00,User13,Part_Of,Group3
IpAddress==192.168.1.1,User26,Full_Control,Datastore244
IpAddress==192.168.1.1,Role137,Full_Control,Datastore156
,User28,Part_Of,Group2
Time==09:00-17:00,User21,Assume_Role,Role138
,User7,Part_Of,Group4
,Group5,Assume_Role,Role192
,Group5,Execute,Datastore160
,Role53,Write,Compute99
IpAddress==192.168.1.1,User17,Read,Datastore234
Time==09:00-17:00,Role105,Execute,Compute189
,User22,Part_Of,Group1
IpAddress==192.168.1.1,User29,Assume_Role,Role91
Time==09:00-17:00,User11,Assume_Role,Role133
,Role110,Execute,Compute15
Time==09:00-17:00,Role257,Write,Compute110
Time==09:00-17:00,Role70,Execute,Compute138
Time==09:00-17:00,User5,Write,Compute243
Time==09:00-17:00,User5,Full_Control,Compute115
IpAddress==192.168.1.1,User28,Assume_Role,Role193
IpAddress==192.168.1.1,User14,Assume_Role,Role239
Time==09:00-17:00,User1,Part_Of,Group5
IpAddress==192.168.1.1,User20,Assume_Role,Role56
IpAddress==192.168.1.1,Role137,Full_Control,Compute142
Time==09:00-17:00,User13,Assume_Role,Role77
Time==09:00-17:00,Group1,Full_Control,Datastore207
IpAddress==192.168.1.1,User14,Full_Control,Compute255
Time==09:00-17:00,User25,Assume_Role,Role19
Time==09:00-17:00,Role140,Execute,Datastore114
IpAddress==192.168.1.1,User11,Assume_Role,Role93
Time==09:00-17:00,Role206,Full_Control,Compute66
IpAddress==192.168.1.1,Role136,Write,Datastore46
IpAddress==192.168.1.1,Role122,Full_Control,Compute216
IpAddress==192.168.1.1,Group1,Assume_Role,Role61
IpAddress==192.168.1.1,Role263,Read,Datastore298
Time==09:00-17:00,Role221,Execute,Compute62
,User4,Assume_Role,Role78
,Role140,Execute,Datastore210
IpAddress==192.168.1.1,User25,Part_Of,Group1
,User11,Part_Of,Group6
,Role196,Write,Datastore141
Time==09:00-17:00,Role215,Write,Datastore46
IpAddress==192.168.1.1,User26,Assume_Role,Role220
,User2,Part_Of,Group5
Time==09:00-17:00,User29,Part_Of,Group3
,User10,Write,Datastore3
IpAddress==192.168.1.1,User9,Assume_Role,Role53
,User3,Part_Of,Group7
IpAddress==192.168.1.1,Group1,Assume_Role,Role173
,Role140,Full_Control,Compute251
,Role171,Write,Datastore10
,Role73,Write,Datastore12
IpAddress==192.168.1.1,User13,Part_Of,Group6
,User25,Read,Datastore56
,Role178,Execute,Compute228
Time==09:00-17:00,User10,Assume_Role,Role106
Time==09:00-17:00,Role119,Read,Compute216
,User14,Part_Of,Group7
IpAddress==192.168.1.1,Role109,Read,Datastore59
IpAddress==192.168.1.1,Role67,Write,Datastore135
Time==09:00-17:00,User11,Assume_Role,Role21
IpAddress==192.168.1.1,User23,Part_Of,Group4
,User2,Read,Compute7
Time==09:00-17:00,User3,Part_Of,Group7
IpAddress==192.168.1.1,Role16,Write,Compute132
,Group1,Assume_Role,Role26
Time==09:00-17:00,User21,Full_Control,Datastore149
,User8,Assume_Role,Role49
IpAddress==192.168.1.1,Role35,Full_Control,Datastore88
IpAddress==192.168.1.1,User6,Assume_Role,Role191
IpAddress==192.168.1.1,Role23,Execute,Compute206
Time==09:00-17:00,Group2,Assume_Role,Role216
,Role22,Read,Datastore68
,Role178,Execute,Compute248
IpAddress==192.168.1.1,User2,Assume_Role,Role67
IpAddress==192.168.1.1,User29,Part_Of,Group4
,Group4,Full_Control,Datastore134
IpAddress==192.168.1.1,Role138,Read,Datastore266
,Role211,Execute,Compute178
IpAddress==192.168.1.1,User6,Execute,Compute81
,Role3,Full_Control,Compute252
,User4,Assume_Role,Role260
IpAddress==192.168.1.1,User16,Assume_Role,Role41
IpAddress==192.168.1.1,User6,Assume_Role,Role256
Time==09:00-17:00,User16,Part_Of,Group6
,Role17,Execute,Datastore207
Time==09:00-17:00,Role11,Write,Datastore156
,User24,Assume_Role,Role28
Time==09:00-17:00,Group7,Assume_Role,Role243
Time==09:00-17:00,User8,Assume_Role,Role50
Time==09:00-17:00,User2,Full_Control,Compute175
,User7,Assume_Role,Role24
Time==09:00-17:00,User27,Part_Of,Group6
,User9,Part_Of,Group5
IpAddress==192.168.1.1,Role26,Write,Datastore202
,Role138,Execute,Datastore56
IpAddress==192.168.1.1,Role195,Write,Datastore235
Time==09:00-17:00,Role236,Execute,Datastore25
,User23,Part_Of,Group5
Time==09:00-17:00,Role18,Full_Control,Datastore199
IpAddress==192.168.1.1,User16,Assume_Role,Role141
,User29,Assume_Role,Role69
Time==09:00-17:00,Group7,Assume_Role,Role161
Time==09:00-17:00,Role67,Full_Control,Compute108
,User23,Part_Of,Group6
Time==09:00-17:00,User25,Part_Of,Group3
IpAddress==192.168.1.1,Group6,Assume_Role,Role147
IpAddress==192.168.1.1,Role232,Read,Compute55
IpAddress==192.168.1.1,User28,Write,Compute29
,Role111,Write,Datastore129
,User25,Part_Of,Group5
Time==09:00-17:00,User7,Assume_Role,Role115
Time==09:00-17:00,User17,Part_Of,Group7
IpAddress==192.168.1.1,User13,Part_Of,Group4
IpAddress==192.168.1.1,User1,Part_Of,Group6
Time==09:00-17:00,Role191,Full_Control,Datastore116
,Role64,Execute,Compute151
IpAddress==192.168.1.1,Role60,Read,Datastore89
,Role184,Full_Control,Compute143
IpAddress==192.168.1.1,Role264,Read,Datastore131
IpAddress==192.168.1.1,User2,Part_Of,Group2
,Role119,Full_Control,Compute252
,User6,Part_Of,Group5
,Role177,Execute,Datastore279
Time==09:00-17:00,User29,Part_Of,Group2
,User24,Assume_Role,Role151
IpAddress==192.168.1.1,User4,Part_Of,Group6
Time==09:00-17:00,User29,Part_Of,Group6
,User21,Execute,Compute165
,Group6,Assume_Role,Role145
IpAddress==192.168.1.1,Group3,Assume_Role,Role23
,Role129,Read,Compute264
Time==09:00-17:00,Role240,Read,Datastore274
,Role72,Execute,Compute110
Time==09:00-17:00,Role240,Read,Datastore223
,User13,Full_Control,Compute236
IpAddress==192.168.1.1,Role2,Write,Datastore28
IpAddress==192.168.1.1,Role259,Full_Control,Datastore117
IpAddress==192.168.1.1,User26,Assume_Role,Role222
Time==09:00-17:00,Role164,Read,Datastore61
IpAddress==192.168.1.1,Role264,Read,Datastore24
IpAddress==192.168.1.1,Role113,Read,Datastore155
IpAddress==192.168.1.1,User26,Assume_Role,Role16
Time==09:00-17:00,Role238,Write,Datastore113
Time==09:00-17:00,User10,Assume_Role,Role153
Time==09:00-17:00,User18,Part_Of,Group7
Time==09:00-17:00,Role28,Read,Compute22
Time==09:00-17:00,User10,Part_Of,Group2
Time==09:00-17:00,User14,Part_Of,Group6
Time==09:00-17:00,Role47,Write,Datastore95
Time==09:00-17:00,User4,Part_Of,Group2
IpAddress==192.168.1.1,Role246,Read,Datastore237
Time==09:00-17:00,Role93,Write,Compute51
Time==09:00-17:00,User23,Assume_Role,Role66
,Role16,Read,Compute146
Time==09:00-17:00,User29,Assume_Role,Role169
IpAddress==192.168.1.1,User19,Part_Of,Group5
IpAddress==192.168.1.1,User11,Assume_Role,Role3
IpAddress==192.168.1.1,Role78,Full_Control,Datastore224
IpAddress==192.168.1.1,Role134,Execute,Datastore246
,Group3,Assume_Role,Role56
IpAddress==192.168.1.1,Role108,Write,Compute72
Time==09:00-17:00,Role3,Read,Datastore10
IpAddress==192.168.1.1,User2,Part_Of,Group5
,User12,Part_Of,Group4
Time==09:00-17:00,User15,Part_Of,Group5
Time==09:00-17:00,Role168,Read,Datastore187
IpAddress==192.168.1.1,Role49,Write,Compute264
Time==09:00-17:00,Role56,Write,Datastore290
IpAddress==192.168.1.1,User3,Assume_Role,Role113
,Group4,Full_Control,Compute136
IpAddress==192.168.1.1,Role70,Full_Control,Datastore266
Time==09:00-17:00,User3,Assume_Role,Role21
Time==09:00-17:00,User23,Part_Of,Group5
IpAddress==192.168.1.1,Group6,Assume_Role,Role90
IpAddress==192.168.1.1,User5,Assume_Role,Role129
IpAddress==192.168.1.1,Role229,Full_Control,Compute208
,User1,Assume_Role,Role257
Time==09:00-17:00,User8,Part_Of,Group1
,User5,Part_Of,Group2
IpAddress==192.168.1.1,User22,Part_Of,Group2
IpAddress==192.168.1.1,User16,Part_Of,Group6
Time==09:00-17:00,User19,Part_Of,Group2
,User8,Part_Of,Group1
Time==09:00-17:00,Role33,Read,Datastore263
,User29,Full_Control,Compute86
Time==09:00-17:00,User29,Part_Of,Group6
Time==09:00-17:00,User7,Part_Of,Group4
IpAddress==192.168.1.1,User11,Assume_Role,Role113
,Role263,Full_Control,Datastore94
IpAddress==192.168.1.1,User5,Assume_Role,Role118
,User4,Part_Of,Group1
,User20,Part_Of,Group1
Time==09:00-17:00,User29,Part_Of,Group7
Time==09:00-17:00,Role12,Write,Compute247
IpAddress==192.168.1.1,Role185,Execute,Compute268
IpAddress==192.168.1.1,Role236,Write,Datastore220
,User7,Assume_Role,Role218
IpAddress==192.168.1.1,User15,Assume_Role,Role43
Time==09:00-17:00,User13,Assume_Role,Role3
Time==09:00-17:00,Role260,Read,Compute268
IpAddress==192.168.1.1,Role157,Full_Control,Datastore106
Time==09:00-17:00,User5,Part_Of,Group4
Time==09:00-17:00,Group6,Assume_Role,Role217
IpAddress==192.168.1.1,User26,Assume_Role,Role105
Time==09:00-17:00,User12,Part_Of,Group5
Time==09:00-17:00,User20,Assume_Role,Role177
Time==09:00-17:00,User28,Part_Of,Group7
,Role82,Write,Datastore229
Time==09:00-17:00,Role225,Full_Control,Compute206
,Role47,Read,Datastore200
,Role206,Read,Datastore223
Time==09:00-17:00,User12,Part_Of,Group1
Time==09:00-17:00,Role161,Full_Control,Compute206
,Role54,Execute,Datastore254
,Role230,Write,Datastore147
,Role51,Full_Control,Datastore19
IpAddress==192.168.1.1,Role45,Full_Control,Compute45
Time==09:00-17:00,User26,Assume_Role,Role103
Time==09:00-17:00,Group7,Full_Control,Datastore47
Time==09:00-17:00,User18,Assume_Role,Role116
IpAddress==192.168.1.1,Role197,Read,Datastore207
Time==09:00-17:00,Role173,Read,Datastore260
,Role222,Full_Control,Compute151
Time==09:00-17:00,User29,Assume_Role,Role194
IpAddress==192.168.1.1,User25,Part_Of,Group3
IpAddress==192.168.1.1,User16,Part_Of,Group1
IpAddress==192.168.1.1,Role160,Write,Datastore113
Time==09:00-17:00,Group5,Assume_Role,Role5
IpAddress==192.168.1.1,User10,Part_Of,Group1
IpAddress==192.168.1.1,User18,Part_Of,Group2
,User14,Assume_Role,Role138
Time==09:00-17:00,Role220,Write,Datastore103
,Role100,Write,Datastore106
,Role147,Read,Datastore80
IpAddress==192.168.1.1,Role217,Read,Datastore4
IpAddress==192.168.1.1,Group3,Assume_Role,Role141
,Role226,Execute,Compute144
IpAddress==192.168.1.1,User28,Execute,Compute270
Time==09:00-17:00,Role222,Execute,Compute178
IpAddress==192.168.1.1,Role199,Execute,Compute62
Time==09:00-17:00,User7,Execute,Compute108
,Role131,Full_Control,Datastore186
Time==09:00-17:00,User9,Part_Of,Group4
IpAddress==192.168.1.1,User12,Assume_Role,Role256
IpAddress==192.168.1.1,Role179,Full_Control,Compute191
Time==09:00-17:00,User12,Assume_Role,Role68
Time==09:00-17:00,Role16,Write,Compute139
Time==09:00-17:00,User13,Assume_Role,Role75
IpAddress==192.168.1.1,Role207,Write,Datastore5
Time==09:00-17:00,User29,Part_Of,Group7
Time==09:00-17:00,User20,Assume_Role,Role129
,Role168,Write,Compute51
IpAddress==192.168.1.1,Role95,Read,Datastore244
Time==09:00-17:00,User24,Assume_Role,Role185
,User2,Assume_Role,Role211
Time==09:00-17:00,User19,Part_Of,Group5
Time==09:00-17:00,Role110,Full_Control,Datastore182
Time==09:00-17:00,User6,Assume_Role,Role196
Time==09:00-17:00,User10,Assume_Role,Role86
,User26,Assume_Role,Role37
IpAddress==192.168.1.1,Role140,Full_Control,Datastore117
IpAddress==192.168.1.1,User26,Assume_Role,Role139
,User27,Assume_Role,Role86
Time==09:00-17:00,Role29,Full_Control,Compute121
,Role72,Execute,Compute86
,Group4,Read,Compute243
Time==09:00-17:00,User4,Part_Of,Group3
,Role8,Full_Control,Datastore200
,Role110,Write,Datastore227
IpAddress==192.168.1.1,User15,Full_Control,Compute18
Time==09:00-17:00,Group6,Assume_Role,Role140
,User23,Part_Of,Group5
IpAddress==192.168.1.1,Group5,Assume_Role,Role159
IpAddress==192.168.1.1,User26,Part_Of,Group1
,User27,Assume_Role,Role134
,User1,Part_Of,Group5
Time==09:00-17:00,Group2,Assume_Role,Role5
IpAddress==192.168.1.1,User20,Assume_Role,Role5
Time==09:00-17:00,User26,Part_Of,Group1
IpAddress==192.168.1.1,User14,Part_Of,Group5
Time==09:00-17:00,User6,Part_Of,Group6
,User15,Assume_Role,Role135
Time==09:00-17:00,User17,Part_Of,Group7
IpAddress==192.168.1.1,Group6,Assume_Role,Role138
IpAddress==192.168.1.1,Group7,Write,Datastore94
Time==09:00-17:00,Role198,Full_Control,Datastore232
,User11,Part_Of,Group1
,Role238,Write,Datastore12
Time==09:00-17:00,User9,Assume_Role,Role225
,Role84,Write,Datastore47
IpAddress==192.168.1.1,User11,Part_Of,Group4
IpAddress==192.168.1.1,Group1,Assume_Role,Role17
IpAddress==192.168.1.1,Role39,Full_Control,Compute29
,Role243,Write,Compute241
Time==09:00-17:00,User1,Assume_Role,Role63
Time==09:00-17:00,Role162,Write,Datastore227
Time==09:00-17:00,Role66,Read,Compute236
IpAddress==192.168.1.1,Role207,Full_Control,Datastore200
IpAddress==192.168.1.1,User22,Read,Compute282
,User13,Assume_Role,Role185
IpAddress==192.168.1.1,Role22,Execute,Compute121
IpAddress==192.168.1.1,Role50,Read,Compute142
Time==09:00-17:00,User5,Execute,Compute22
,Role155,Write,Datastore46
IpAddress==192.168.1.1,User22,Part_Of,Group5
Time==09:00-17:00,Group2,Write,Compute183
IpAddress==192.168.1.1,Role29,Write,Compute250
Time==09:00-17:00,User13,Assume_Role,Role11
,User9,Assume_Role,Role129
Time==09:00-17:00,Group7,Assume_Role,Role151
Time==09:00-17:00,User19,Part_Of,Group2
Time==09:00-17:00,Group1,Assume_Role,Role141
IpAddress==192.168.1.1,Group7,Write,Datastore272
IpAddress==192.168.1.1,Group6,Assume_Role,Role188
,Role224,Write,Datastore195
,User11,Part_Of,Group6
IpAddress==192.168.1.1,User17,Part_Of,Group6
Time==09:00-17:00,Role109,Execute,Datastore166
Time==09:00-17:00,User4,Part_Of,Group5
,User23,Write,Datastore67
,Role19,Write,Datastore249
Time==09:00-17:00,Role257,Execute,Datastore199
Time==09:00-17:00,User12,Part_Of,Group2
,User7,Execute,Compute107
Time==09:00-17:00,User12,Part_Of,Group5
Time==09:00-17:00,User4,Assume_Role,Role137
,Role1,Read,Datastore156
,Role16,Execute,Datastore119
Time==09:00-17:00,Role234,Write,Datastore128
Time==09:00-17:00,User25,Part_Of,Group6
,User28,Assume_Role,Role54
Time==09:00-17:00,Role246,Full_Control,Compute206
IpAddress==192.168.1.1,Role238,Full_Control,Datastore227
Time==09:00-17:00,User27,Assume_Role,Role221
,User19,Part_Of,Group5
